epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,1222.09,2.70832,0.73196,1.40911,0.88831,0.65307,0.80969,0.34483,2.56514,0.82075,1.32884,0.00126344,0.00126344,0.00126344
95,1234.94,2.75061,0.71581,1.43579,0.89293,0.82405,0.85712,0.31432,2.71562,0.63085,1.35944,0.00125552,0.00125552,0.00125552
96,1247.9,2.75232,0.69816,1.44967,0.92753,0.84751,0.90731,0.37571,2.56001,0.58895,1.32322,0.0012476,0.0012476,0.0012476
97,1260.7,2.79644,0.7275,1.41393,0.20516,0.15543,0.10239,0.03225,4.57727,1.46346,1.82198,0.00123968,0.00123968,0.00123968
98,1273.16,2.78354,0.72477,1.44965,0.89672,0.73839,0.81632,0.28708,2.88242,0.73717,1.39919,0.00123176,0.00123176,0.00123176
99,1285.89,2.66547,0.70375,1.41778,0.87582,0.73607,0.81116,0.32673,2.58215,0.79623,1.33282,0.00122384,0.00122384,0.00122384
100,1298.25,2.69158,0.66928,1.43427,0.93149,0.87719,0.92104,0.38722,2.50606,0.57528,1.31124,0.00121592,0.00121592,0.00121592
101,1311.02,2.75857,0.69489,1.4321,0.89205,0.82392,0.85237,0.31727,2.67747,0.63068,1.34694,0.001208,0.001208,0.001208
102,1323.84,2.78113,0.72321,1.41647,0.91499,0.78886,0.8624,0.33853,2.67518,0.65514,1.35114,0.00120008,0.00120008,0.00120008
103,1336.69,2.75019,0.72993,1.41592,0.89348,0.82111,0.86686,0.3342,2.66054,0.64599,1.34397,0.00119216,0.00119216,0.00119216
104,1349.63,2.74391,0.72513,1.40545,0.84534,0.62463,0.71189,0.27088,2.70251,1.03587,1.37373,0.00118424,0.00118424,0.00118424
105,1362.45,2.77376,0.7105,1.41154,0.7536,0.64576,0.6684,0.2487,2.8616,0.84177,1.41234,0.00117632,0.00117632,0.00117632
106,1375.61,2.7149,0.68641,1.41748,0.91811,0.85488,0.88602,0.36547,2.61174,0.59328,1.33032,0.0011684,0.0011684,0.0011684
107,1388.24,2.69292,0.68874,1.41493,0.90282,0.82405,0.88551,0.34853,2.55992,0.63459,1.32748,0.00116048,0.00116048,0.00116048
108,1401.02,2.74366,0.70285,1.44735,0.92967,0.89153,0.9214,0.37761,2.54658,0.56809,1.31812,0.00115256,0.00115256,0.00115256
109,1414.1,2.76763,0.70333,1.41422,0.92021,0.8455,0.90257,0.38373,2.57858,0.60536,1.34025,0.00114464,0.00114464,0.00114464
110,1427.24,2.76276,0.70824,1.40143,0.90949,0.85454,0.89539,0.34936,2.58423,0.62151,1.3265,0.00113672,0.00113672,0.00113672
111,1439.95,2.69356,0.68506,1.40154,0.89961,0.80938,0.85753,0.30096,2.96034,0.65404,1.41991,0.0011288,0.0011288,0.0011288
112,1452.88,2.7944,0.72903,1.43133,0.86294,0.60704,0.70146,0.28917,2.64327,1.04587,1.35658,0.00112088,0.00112088,0.00112088
113,1465.65,2.75244,0.70291,1.43562,0.87714,0.77466,0.83547,0.30643,2.69356,0.66422,1.35328,0.00111296,0.00111296,0.00111296
114,1478.96,2.718,0.69871,1.41561,0.944,0.86804,0.91905,0.38671,2.51379,0.5917,1.31275,0.00110504,0.00110504,0.00110504
115,1492.22,2.76669,0.72195,1.41018,0.89085,0.73607,0.86057,0.35975,2.63157,0.74093,1.35134,0.00109712,0.00109712,0.00109712
116,1505.35,2.73158,0.70842,1.42791,0.93147,0.8827,0.91833,0.37704,2.48343,0.57973,1.3048,0.0010892,0.0010892,0.0010892
117,1518.48,2.75218,0.70597,1.44414,0.72516,0.68088,0.66272,0.23751,2.8717,0.75658,1.41048,0.00108128,0.00108128,0.00108128
118,1531.31,2.70974,0.6751,1.43423,0.94981,0.88796,0.93625,0.40104,2.53984,0.56419,1.3238,0.00107336,0.00107336,0.00107336
119,1544.05,2.59431,0.66499,1.39633,0.83992,0.75073,0.77805,0.25082,3.01593,0.74832,1.41187,0.00106544,0.00106544,0.00106544
120,1556.97,2.70252,0.69642,1.42759,0.91542,0.85699,0.89595,0.36649,2.62639,0.59344,1.33853,0.00105752,0.00105752,0.00105752
121,1569.64,2.65847,0.68587,1.39841,0.92124,0.82698,0.89536,0.38513,2.51986,0.67345,1.3204,0.0010496,0.0010496,0.0010496
122,1582.42,2.6792,0.66413,1.40326,0.89647,0.87977,0.90771,0.35737,2.57249,0.59046,1.32072,0.00104168,0.00104168,0.00104168
123,1595.36,2.66443,0.66906,1.41261,0.8469,0.76244,0.7856,0.29505,2.89809,0.74504,1.40619,0.00103376,0.00103376,0.00103376
124,1608.21,2.69235,0.69329,1.39475,0.7681,0.71554,0.71205,0.24559,2.89705,0.71826,1.39308,0.00102584,0.00102584,0.00102584
125,1620.9,2.70446,0.68512,1.40222,0.90857,0.84512,0.88383,0.34365,2.64184,0.60519,1.33425,0.00101792,0.00101792,0.00101792
126,1633.61,2.68488,0.69064,1.42089,0.92376,0.87097,0.90379,0.35758,2.60956,0.59065,1.32659,0.00101,0.00101,0.00101
127,1646.32,2.64617,0.67557,1.41984,0.9524,0.88012,0.93067,0.39258,2.45163,0.55498,1.302,0.00100208,0.00100208,0.00100208
128,1659.03,2.6827,0.67769,1.40732,0.92691,0.88563,0.92934,0.40564,2.40236,0.55455,1.29004,0.00099416,0.00099416,0.00099416
129,1671.73,2.67966,0.66992,1.42413,0.92404,0.82111,0.87076,0.35342,2.67063,0.61472,1.34384,0.00098624,0.00098624,0.00098624
130,1684.52,2.69599,0.68048,1.40722,0.91292,0.7686,0.86523,0.36307,2.69804,0.71181,1.3617,0.00097832,0.00097832,0.00097832
131,1697.17,2.71878,0.67797,1.43605,0.92472,0.86456,0.90952,0.37215,2.54714,0.58819,1.31771,0.0009704,0.0009704,0.0009704
132,1709.65,2.64676,0.65836,1.42107,0.88994,0.85337,0.89006,0.35658,2.65258,0.58533,1.34907,0.00096248,0.00096248,0.00096248
133,1722.28,2.63047,0.68247,1.41989,0.92639,0.84888,0.88867,0.34124,2.5766,0.59488,1.31574,0.00095456,0.00095456,0.00095456
134,1734.88,2.70234,0.68786,1.41641,0.8635,0.74204,0.86308,0.36347,2.55239,0.73847,1.32364,0.00094664,0.00094664,0.00094664
135,1747.51,2.64994,0.64761,1.40678,0.92908,0.85337,0.88576,0.34109,2.66854,0.58581,1.33977,0.00093872,0.00093872,0.00093872
136,1761.23,2.64613,0.66497,1.40278,0.88009,0.78299,0.83828,0.3258,2.70961,0.65541,1.35498,0.0009308,0.0009308,0.0009308
137,1774.2,2.6354,0.65397,1.39644,0.91609,0.83578,0.86987,0.3203,2.73934,0.62683,1.3622,0.00092288,0.00092288,0.00092288
138,1787.52,2.66006,0.66765,1.41425,0.94313,0.8754,0.91241,0.37191,2.60087,0.57569,1.34008,0.00091496,0.00091496,0.00091496
139,1800.31,2.64996,0.6686,1.40362,0.93819,0.87977,0.93443,0.39723,2.46297,0.57198,1.29869,0.00090704,0.00090704,0.00090704
