epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,4003.57,1.33308,0.53259,1.27907,0.98985,0.99043,0.99347,0.6927,1.25484,0.48305,1.2153,0.000508133,0.000508133,0.000508133
57,4074.61,1.32476,0.53269,1.27865,0.99199,0.99255,0.99426,0.69913,1.23669,0.47873,1.20124,0.000502827,0.000502827,0.000502827
58,4146.44,1.31964,0.52961,1.27894,0.98912,0.98883,0.99261,0.70294,1.23932,0.48079,1.20558,0.00049752,0.00049752,0.00049752
59,4217.53,1.32507,0.5365,1.28743,0.99301,0.99255,0.99375,0.70189,1.24456,0.4809,1.20636,0.000492213,0.000492213,0.000492213
60,4288.8,1.31123,0.53073,1.27189,0.98908,0.98777,0.99305,0.70094,1.238,0.48855,1.20354,0.000486907,0.000486907,0.000486907
61,4360.36,1.32182,0.52985,1.28743,0.98989,0.98918,0.99375,0.7013,1.22871,0.48206,1.19797,0.0004816,0.0004816,0.0004816
62,4431.68,1.32446,0.52317,1.28677,0.98938,0.99067,0.99419,0.70428,1.22574,0.48367,1.20043,0.000476293,0.000476293,0.000476293
63,4502.94,1.31483,0.5174,1.27525,0.99096,0.99125,0.99432,0.70258,1.23444,0.47518,1.20285,0.000470987,0.000470987,0.000470987
64,4574.38,1.29602,0.51193,1.25676,0.99198,0.99149,0.99371,0.70104,1.22845,0.46734,1.20094,0.00046568,0.00046568,0.00046568
65,4645.87,1.31161,0.52239,1.27952,0.99095,0.99034,0.99368,0.70816,1.23617,0.46654,1.20164,0.000460373,0.000460373,0.000460373
66,4717.46,1.31038,0.51879,1.26978,0.99066,0.99043,0.99379,0.70159,1.22869,0.47185,1.20116,0.000455067,0.000455067,0.000455067
67,4789.24,1.31798,0.51602,1.2782,0.98989,0.99002,0.99451,0.70635,1.21687,0.46751,1.19132,0.00044976,0.00044976,0.00044976
68,4860.39,1.30115,0.51847,1.26947,0.99112,0.98777,0.99447,0.70614,1.22307,0.47172,1.19635,0.000444453,0.000444453,0.000444453
69,4931.85,1.30317,0.51328,1.26982,0.99154,0.99202,0.99448,0.70437,1.22898,0.46576,1.19316,0.000439147,0.000439147,0.000439147
70,5003.6,1.28856,0.50805,1.26344,0.99188,0.99255,0.99392,0.70392,1.2307,0.46982,1.19431,0.00043384,0.00043384,0.00043384
71,5075.16,1.30269,0.51305,1.2797,0.99042,0.99,0.99387,0.71087,1.21902,0.46255,1.19263,0.000428533,0.000428533,0.000428533
72,5146.38,1.28517,0.50955,1.2633,0.99202,0.99136,0.99453,0.71102,1.21458,0.46326,1.18875,0.000423227,0.000423227,0.000423227
73,5217.41,1.28769,0.5053,1.26617,0.9899,0.99075,0.99398,0.709,1.21917,0.46067,1.19099,0.00041792,0.00041792,0.00041792
